Date,Open,High,Low,Close,Adj Close,Volume
"Oct 16, 2025",391.15,395.22,390.41,394.73,394.73,"21,414,601"
"Oct 15, 2025",385.93,387.76,384.59,387.39,387.39,"20,470,700"
"Oct 14, 2025",378.21,382.38,377.90,380.79,380.79,"18,409,600"
"Oct 13, 2025",376.50,378.86,375.58,378.09,378.09,"18,514,400"
"Oct 10, 2025",367.54,370.31,365.44,369.12,369.12,"24,192,800"
"Oct 9, 2025",373.14,373.22,362.83,365.43,365.43,"33,674,800"
"Oct 8, 2025",371.65,373.57,370.50,372.30,372.30,"28,052,300"
"Oct 7, 2025",366.51,367.27,364.55,366.26,366.26,"16,836,800"
"Oct 6, 2025",362.16,365.30,361.37,364.38,364.38,"17,093,700"
"Oct 3, 2025",357.12,358.14,355.80,357.64,357.64,"14,464,000"
"Oct 2, 2025",358.26,358.67,351.40,354.79,354.79,"16,162,100"
"Oct 1, 2025",356.17,356.97,354.79,356.03,356.03,"15,573,600"
"Sep 30, 2025",351.13,355.57,350.87,355.47,355.47,"13,312,400"
"Sep 29, 2025",351.79,352.83,351.28,352.46,352.46,"15,719,600"
"Sep 26, 2025",345.83,348.25,345.31,346.74,346.74,"11,698,200"
"Sep 25, 2025",344.39,345.83,342.47,344.75,344.75,"12,639,600"
"Sep 24, 2025",346.70,346.83,342.14,343.32,343.32,"12,709,100"
"Sep 23, 2025",348.23,348.75,345.32,346.46,346.46,"18,384,000"
"Sep 22, 2025",342.75,345.07,341.84,345.05,345.05,"12,386,400"
"Sep 19, 2025",336.51,339.23,336.31,339.18,339.18,"14,982,600"
"Sep 18, 2025",336.22,336.32,333.81,335.62,335.62,"14,913,300"
"Sep 17, 2025",338.53,341.24,335.52,336.97,336.97,"16,535,300"
"Sep 16, 2025",340.09,340.88,338.62,339.59,339.59,"12,161,500"
"Sep 15, 2025",336.31,339.28,336.23,338.91,338.91,"10,569,900"
"Sep 12, 2025",335.88,336.39,335.23,335.42,335.42,"9,619,700"
"Sep 11, 2025",333.37,335.16,332.97,334.76,334.76,"9,082,600"
"Sep 10, 2025",335.73,336.50,326.19,335.26,335.26,"11,945,700"
