Date,Open,High,Low,Close,Adj Close,Volume
"Oct 16, 2025","6,689.02","6,709.34","6,616.47","6,649.85","6,649.85","1,684,722,000"
"Oct 15, 2025","6,688.27","6,724.12","6,612.11","6,671.06","6,671.06","5,633,060,000"
"Oct 14, 2025","6,602.49","6,680.70","6,555.07","6,644.31","6,644.31","5,666,920,000"
"Oct 13, 2025","6,622.53","6,668.68","6,620.71","6,654.72","6,654.72","5,303,960,000"
"Oct 10, 2025","6,740.49","6,762.40","6,550.78","6,552.51","6,552.51","5,385,020,000"
"Oct 9, 2025","6,760.50","6,764.58","6,716.17","6,735.11","6,735.11","5,385,020,000"
"Oct 8, 2025","6,723.87","6,755.64","6,718.09","6,753.72","6,753.72","5,383,130,000"
"Oct 7, 2025","6,746.14","6,754.49","6,699.96","6,714.59","6,714.59","5,546,150,000"
"Oct 6, 2025","6,733.86","6,749.52","6,717.78","6,740.28","6,740.28","5,604,460,000"
"Oct 3, 2025","6,722.14","6,750.87","6,705.67","6,715.79","6,715.79","5,713,110,000"
"Oct 2, 2025","6,731.31","6,731.94","6,693.23","6,715.35","6,715.35","5,416,130,000"
"Oct 1, 2025","6,664.92","6,718.48","6,656.20","6,711.20","6,711.20","6,037,950,000"
"Sep 30, 2025","6,656.19","6,691.25","6,641.00","6,688.46","6,688.46","6,057,210,000"
"Sep 29, 2025","6,661.58","6,677.31","6,644.49","6,661.21","6,661.21","5,358,760,000"
"Sep 26, 2025","6,615.38","6,648.97","6,604.43","6,643.70","6,643.70","5,103,110,000"
"Sep 25, 2025","6,608.19","6,619.00","6,569.22","6,604.72","6,604.72","5,874,670,000"
"Sep 24, 2025","6,669.79","6,672.66","6,621.76","6,637.97","6,637.97","5,459,180,000"
"Sep 23, 2025","6,692.44","6,699.52","6,645.58","6,656.92","6,656.92","5,633,620,000"
"Sep 22, 2025","6,654.28","6,698.88","6,648.07","6,693.75","6,693.75","5,642,620,000"
"Sep 19, 2025","6,647.11","6,671.82","6,630.31","6,664.36","6,664.36","9,125,960,000"
"Sep 18, 2025","6,626.85","6,656.80","6,611.89","6,631.96","6,631.96","5,292,400,000"
"Sep 17, 2025","6,604.87","6,624.39","6,551.15","6,600.35","6,600.35","5,805,340,000"
"Sep 16, 2025","6,624.13","6,626.99","6,600.11","6,606.76","6,606.76","5,359,510,000"
"Sep 15, 2025","6,603.49","6,619.62","6,602.07","6,615.28","6,615.28","5,045,020,000"
"Sep 12, 2025","6,590.66","6,600.21","6,579.49","6,584.29","6,584.29","4,641,640,000"
"Sep 11, 2025","6,554.41","6,592.89","6,545.80","6,587.47","6,587.47","5,426,460,000"
"Sep 10, 2025","6,550.29","6,555.97","6,516.34","6,532.04","6,532.04","5,253,010,000"
"Sep 9, 2025","6,503.33","6,518.23","6,483.08","6,512.61","6,512.61","4,798,350,000"
"Sep 8, 2025","6,498.09","6,508.67","6,483.29","6,495.15","6,495.15","5,211,500,000"
"Sep 5, 2025","6,529.08","6,532.65","6,443.98","6,481.50","6,481.50","5,066,120,000"
"Sep 4, 2025","6,456.60","6,502.54","6,445.98","6,502.08","6,502.08","4,670,770,000"
"Sep 3, 2025","6,445.82","6,453.67","6,416.17","6,448.26","6,448.26","4,465,360,000"
"Sep 2, 2025","6,401.51","6,416.54","6,360.58","6,415.54","6,415.54","4,784,000,000"
"Aug 29, 2025","6,489.28","6,491.76","6,444.57","6,460.26","6,460.26","4,234,840,000"
"Aug 28, 2025","6,483.84","6,508.23","6,466.96","6,501.86","6,501.86","4,283,760,000"
"Aug 27, 2025","6,462.26","6,487.06","6,457.84","6,481.40","6,481.40","4,143,680,000"
"Aug 26, 2025","6,435.49","6,468.37","6,429.21","6,465.94","6,465.94","4,867,680,000"
"Aug 25, 2025","6,457.67","6,466.89","6,438.06","6,439.32","6,439.32","4,059,070,000"
"Aug 22, 2025","6,384.59","6,478.89","6,384.59","6,466.91","6,466.91","5,046,860,000"
"Aug 21, 2025","6,380.83","6,393.65","6,352.71","6,370.17","6,370.17","4,013,560,000"
"Aug 20, 2025","6,406.62","6,408.40","6,343.86","6,395.78","6,395.78","4,470,390,000"
"Aug 19, 2025","6,446.24","6,456.48","6,400.22","6,411.37","6,411.37","4,377,440,000"
"Aug 18, 2025","6,445.02","6,455.35","6,437.70","6,449.15","6,449.15","4,162,290,000"
"Aug 15, 2025","6,477.38","6,481.34","6,441.85","6,449.80","6,449.80","4,575,060,000"
"Aug 14, 2025","6,453.46","6,473.92","6,441.07","6,468.54","6,468.54","4,462,050,000"
"Aug 13, 2025","6,462.67","6,480.28","6,445.02","6,466.58","6,466.58","5,195,950,000"
"Aug 12, 2025","6,395.17","6,446.55","6,385.76","6,445.76","6,445.76","5,135,300,000"
